Vô thượng Đại Niết Bàn,
Viên minh thường tịch chiếu.
Phàm ngu vị chi tử,
Ngoại đạo chấp vi đoạn.
Chư cầu nhị thừa nhân,
Mục dĩ vi vô tác.
Tận thuộc tình sở kế,
Lục thập nhị kiến bản.
Vọng lập hư giả danh,
Hà vi chơn thật nghĩa.
Duy hữu quá lượng nhơn,
Thông đạt vô thủ xả.
Dĩ tri ngũ uẩn pháp,
Cập dĩ uẩn trung ngã.
Ngoại hiện chúng sắc tượng,
Nhất nhất âm thanh tướng.
Bình đẳng như mộng huyễn,
Bất khởi phàm Thánh kiến.
Bất tác Niết Bàn giải,
Nhị biên tam tế đoạn.
Thường ứng chư căn dụng,
Nhi bất khởi dụng tưởng.
Phân biệt nhất thiết pháp,
Bất khởi phân biệt tưởng.
Kiếp hỏa thiêu hải để,
Phong cổ sơn tương kích.
